complaint_id,text,category,priority,sentiment,resolution_time,cleaned_text
92,Inquiry about pricing,Trade,Low,-0.1854138106536009,20,inquiry pricing
93,Product malfunctioning,Product,High,-0.8888131261410368,54,product malfunctioning
94,Damaged packaging,Packaging,High,-0.5278042896559159,2,damaged packaging
95,Product stopped working,Product,High,0.9274358849692484,36,product stopped working
96,Poor packaging quality,Packaging,Low,0.8336971362362235,26,poor packaging quality
97,Box was broken,Packaging,High,0.5877033012985589,13,box broken
98,Need bulk order details,Trade,Medium,-0.0285243651036359,25,need bulk order detail
99,Need bulk order details,Trade,High,-0.5625756003071438,15,need bulk order detail
100,Damaged packaging,Packaging,Medium,0.4281574900585034,22,damaged packaging
101,Damaged packaging,Packaging,Medium,-0.6829629509372914,31,damaged packaging
102,Product stopped working,Product,Low,-0.2111406490395664,55,product stopped working
103,Trade-related query,Trade,High,0.3142948703939616,34,traderelated query
104,Box was broken,Packaging,Medium,0.1707902247810224,49,box broken
105,Trade-related query,Trade,Medium,-0.2243099684790723,42,traderelated query
106,Box was broken,Packaging,High,0.8801841961611319,51,box broken
107,Product stopped working,Product,High,-0.7023839200919113,7,product stopped working
108,Inquiry about pricing,Trade,High,0.4456174750042392,1,inquiry pricing
109,Damaged packaging,Packaging,High,-0.0313394038868166,58,damaged packaging
110,Product stopped working,Product,High,0.2888239260863134,54,product stopped working
111,Box was broken,Packaging,High,-0.984159334412602,65,box broken
112,Defective item received,Product,High,0.1168353760225002,61,defective item received
113,Poor packaging quality,Packaging,Medium,0.6827364518666248,7,poor packaging quality
114,Damaged packaging,Packaging,Medium,0.8544545606129963,46,damaged packaging
115,Product malfunctioning,Product,Low,0.4033215663187579,37,product malfunctioning
116,Product stopped working,Product,Low,-0.3948357794231791,70,product stopped working
117,Damaged packaging,Packaging,High,-0.130888850087844,10,damaged packaging
118,Defective item received,Product,High,-0.5138425663613462,52,defective item received
119,Defective item received,Product,Medium,-0.6294283904793514,27,defective item received
120,Damaged packaging,Packaging,High,0.874302594174349,54,damaged packaging
121,Product malfunctioning,Product,Medium,0.7738076992125515,39,product malfunctioning
122,Product stopped working,Product,Medium,-0.2521063665314682,26,product stopped working
123,Inquiry about pricing,Trade,High,0.5043385961533464,56,inquiry pricing
124,Poor packaging quality,Packaging,Low,-0.8775522770485773,40,poor packaging quality
125,Poor packaging quality,Packaging,High,-0.7557205922034915,72,poor packaging quality
126,Need bulk order details,Trade,Medium,-0.3600918411804485,50,need bulk order detail
127,Need bulk order details,Trade,Medium,-0.723051915266401,19,need bulk order detail
128,Product malfunctioning,Product,Low,0.7827841767152126,71,product malfunctioning
129,Defective item received,Product,Medium,-0.1152568985583906,20,defective item received
130,Poor packaging quality,Packaging,High,-0.1460344829601749,6,poor packaging quality
131,Product stopped working,Product,Low,0.2176713482868508,52,product stopped working
132,Product malfunctioning,Product,Medium,-0.12665993391455,2,product malfunctioning
133,Damaged packaging,Packaging,Low,0.3605518672472643,3,damaged packaging
134,Product malfunctioning,Product,Medium,-0.8471444296486363,43,product malfunctioning
135,Trade-related query,Trade,Medium,0.4809160591239256,21,traderelated query
136,Box was broken,Packaging,Medium,0.5515077394951933,8,box broken
137,Product stopped working,Product,Low,0.8783567784527799,9,product stopped working
138,Trade-related query,Trade,High,-0.189965185272632,49,traderelated query
139,Damaged packaging,Packaging,Medium,0.9740788922045314,9,damaged packaging
140,Need bulk order details,Trade,High,-0.8386241325885668,14,need bulk order detail
141,Damaged packaging,Packaging,High,0.9093862277691542,47,damaged packaging
142,Poor packaging quality,Packaging,Medium,0.0148649869630921,66,poor packaging quality
143,Trade-related query,Trade,Low,-0.8060541656879741,70,traderelated query
144,Damaged packaging,Packaging,Low,0.580267590553817,35,damaged packaging
145,Inquiry about pricing,Trade,Low,-0.1975588710153994,13,inquiry pricing
146,Need bulk order details,Trade,Medium,0.8815167228142786,67,need bulk order detail
147,Trade-related query,Trade,Medium,0.65489999561709,8,traderelated query
148,Poor packaging quality,Packaging,High,0.2255927221782732,67,poor packaging quality
149,Poor packaging quality,Packaging,Low,0.0285678972141543,59,poor packaging quality
150,Product malfunctioning,Product,Medium,-0.9028374192208936,36,product malfunctioning
151,Trade-related query,Trade,Low,0.2255212250914953,71,traderelated query
152,Damaged packaging,Packaging,Low,-0.6982476070613055,38,damaged packaging
153,Product malfunctioning,Product,Low,-0.5320213006891552,48,product malfunctioning
154,Damaged packaging,Packaging,Medium,-0.7792741786571571,58,damaged packaging
155,Inquiry about pricing,Trade,High,-0.5023821259680172,12,inquiry pricing
156,Need bulk order details,Trade,Low,-0.0473722568738605,37,need bulk order detail
157,Box was broken,Packaging,Medium,0.7824183060761651,42,box broken
158,Product malfunctioning,Product,High,-0.2288996209903848,14,product malfunctioning
159,Trade-related query,Trade,Low,-0.551991616084994,19,traderelated query
160,Poor packaging quality,Packaging,Low,-0.2971864800107893,22,poor packaging quality
161,Product stopped working,Product,High,-0.0937011431140253,57,product stopped working
162,Inquiry about pricing,Trade,Medium,-0.2521679994618797,55,inquiry pricing
163,Box was broken,Packaging,High,0.518234738263653,12,box broken
164,Product stopped working,Product,Low,-0.1205116229087857,40,product stopped working
165,Damaged packaging,Packaging,High,-0.6393670846151938,49,damaged packaging
166,Product malfunctioning,Product,Medium,0.9961627724334348,70,product malfunctioning
167,Product malfunctioning,Product,Low,-0.5921216929631641,29,product malfunctioning
168,Box was broken,Packaging,High,0.8970731094227602,8,box broken
169,Poor packaging quality,Packaging,Medium,-0.2102584494787833,61,poor packaging quality
170,Product stopped working,Product,Low,-0.6911341244533675,45,product stopped working
171,Inquiry about pricing,Trade,High,-0.2764445457455182,4,inquiry pricing
172,Inquiry about pricing,Trade,High,0.1807583765579308,39,inquiry pricing
173,Inquiry about pricing,Trade,High,0.2332092883464585,4,inquiry pricing
174,Damaged packaging,Packaging,High,-0.3237129496842739,44,damaged packaging
175,Need bulk order details,Trade,High,-0.5685089390385536,51,need bulk order detail
176,Product stopped working,Product,High,-0.0668711788722262,9,product stopped working
177,Product stopped working,Product,High,-0.3004082535694594,61,product stopped working
178,Defective item received,Product,Medium,-0.4461576871612769,34,defective item received
179,Damaged packaging,Packaging,Low,-0.949402853949252,26,damaged packaging
180,Trade-related query,Trade,High,0.5085120876010867,23,traderelated query
181,Damaged packaging,Packaging,Low,-0.9409817097401632,44,damaged packaging
182,Trade-related query,Trade,Medium,-0.3027715701484235,19,traderelated query
183,Poor packaging quality,Packaging,High,-0.2824918928594271,29,poor packaging quality
184,Trade-related query,Trade,Low,0.7458553730585582,12,traderelated query
185,Box was broken,Packaging,Low,0.0798519791790355,39,box broken
186,Need bulk order details,Trade,High,-0.5972877242997494,48,need bulk order detail
187,Poor packaging quality,Packaging,High,-0.6025642006817149,33,poor packaging quality
188,Damaged packaging,Packaging,Medium,0.4986396024579549,9,damaged packaging
189,Damaged packaging,Packaging,Medium,0.4571401038752178,66,damaged packaging
190,Need bulk order details,Trade,Low,0.1190321595035417,33,need bulk order detail
191,Product malfunctioning,Product,High,0.2713717580141686,47,product malfunctioning
192,Inquiry about pricing,Trade,Low,-0.90444041354101,25,inquiry pricing
193,Product malfunctioning,Product,Medium,-0.998082370616953,39,product malfunctioning
194,Damaged packaging,Packaging,High,0.0115778925994625,68,damaged packaging
195,Need bulk order details,Trade,High,0.2008333067745964,64,need bulk order detail
196,Trade-related query,Trade,Medium,-0.5377868749190169,14,traderelated query
197,Defective item received,Product,Medium,0.0075604817525352,45,defective item received
198,Product malfunctioning,Product,Low,-0.0036069508748723,26,product malfunctioning
199,Damaged packaging,Packaging,Medium,0.3772319003982074,41,damaged packaging
200,Poor packaging quality,Packaging,High,-0.6570355912016164,58,poor packaging quality
201,Product stopped working,Product,Medium,0.9233776633883344,58,product stopped working
202,Need bulk order details,Trade,Medium,-0.4811314997386695,44,need bulk order detail
203,Product malfunctioning,Product,Low,0.8912931793665642,43,product malfunctioning
204,Need bulk order details,Trade,High,-0.4953576227068168,70,need bulk order detail
205,Box was broken,Packaging,High,0.7092627069424455,67,box broken
206,Need bulk order details,Trade,High,0.511159685400606,13,need bulk order detail
207,Product malfunctioning,Product,High,-0.6016016026099626,26,product malfunctioning
208,Damaged packaging,Packaging,Low,0.9024225673036576,58,damaged packaging
209,Damaged packaging,Packaging,High,0.2661433444612002,63,damaged packaging
210,Product stopped working,Product,Low,0.7059264224917274,12,product stopped working
211,Damaged packaging,Packaging,Medium,0.4722472359475413,22,damaged packaging
212,Product malfunctioning,Product,Low,0.1889914390958309,14,product malfunctioning
213,Defective item received,Product,Medium,0.2641050791688533,6,defective item received
214,Inquiry about pricing,Trade,Low,-0.8397094011386042,21,inquiry pricing
215,Product stopped working,Product,Medium,0.3199320312097986,43,product stopped working
216,Box was broken,Packaging,Medium,0.0786204830350438,31,box broken
217,Inquiry about pricing,Trade,Medium,0.91966925139185,41,inquiry pricing
218,Trade-related query,Trade,Medium,0.2133401046441436,16,traderelated query
219,Need bulk order details,Trade,Medium,-0.7666567112003431,48,need bulk order detail
220,Defective item received,Product,Low,-0.106295332082539,9,defective item received
221,Trade-related query,Trade,Medium,0.4389830584017042,10,traderelated query
222,Product stopped working,Product,Low,0.4551619511113742,49,product stopped working
223,Trade-related query,Trade,High,0.20497950594092,41,traderelated query
224,Damaged packaging,Packaging,High,-0.6681039379289493,36,damaged packaging
225,Box was broken,Packaging,Medium,-0.5924718042958395,56,box broken
226,Poor packaging quality,Packaging,Low,0.5219402248418115,17,poor packaging quality
227,Product stopped working,Product,Low,-0.1745130408453801,67,product stopped working
228,Inquiry about pricing,Trade,Medium,-0.0461178881100865,13,inquiry pricing
229,Defective item received,Product,Medium,-0.2353913674288139,22,defective item received
230,Product malfunctioning,Product,High,-0.0182986534275617,4,product malfunctioning
231,Damaged packaging,Packaging,High,-0.6395873219826425,33,damaged packaging
232,Inquiry about pricing,Trade,Low,-0.1283817868291339,17,inquiry pricing
233,Damaged packaging,Packaging,Low,0.0282853389312429,14,damaged packaging
234,Need bulk order details,Trade,Low,0.3179337167223233,14,need bulk order detail
235,Damaged packaging,Packaging,Medium,-0.6088732929954723,6,damaged packaging
236,Need bulk order details,Trade,Medium,-0.2410592937865912,61,need bulk order detail
237,Product malfunctioning,Product,High,-0.2924760301556692,27,product malfunctioning
238,Box was broken,Packaging,Medium,0.7066343617278532,22,box broken
239,Product malfunctioning,Product,High,0.2055641647835271,68,product malfunctioning
240,Box was broken,Packaging,Medium,0.7863657615764603,70,box broken
241,Product malfunctioning,Product,Medium,-0.9820682618123646,35,product malfunctioning
242,Trade-related query,Trade,Low,-0.740430316646945,67,traderelated query
243,Poor packaging quality,Packaging,High,-0.859875782258545,26,poor packaging quality
244,Product stopped working,Product,Low,-0.9882736445668164,6,product stopped working
245,Box was broken,Packaging,High,-0.959042547707557,14,box broken
246,Defective item received,Product,Low,0.7346046790430367,71,defective item received
247,Product stopped working,Product,Medium,-0.7961033737089631,60,product stopped working
248,Product malfunctioning,Product,Low,-0.4416404392258011,21,product malfunctioning
249,Product malfunctioning,Product,Low,0.2906294075077156,6,product malfunctioning
250,Trade-related query,Trade,High,-0.4013493866515543,41,traderelated query
251,Box was broken,Packaging,Low,-0.3109409631502073,67,box broken
252,Poor packaging quality,Packaging,Medium,-0.2265610862533316,51,poor packaging quality
253,Need bulk order details,Trade,Low,-0.730436804065274,26,need bulk order detail
254,Product stopped working,Product,High,0.1300907946368268,16,product stopped working
255,Poor packaging quality,Packaging,High,-0.7656990328776521,20,poor packaging quality
256,Need bulk order details,Trade,Medium,-0.0127339012650511,9,need bulk order detail
257,Poor packaging quality,Packaging,High,-0.056763571680894,48,poor packaging quality
258,Inquiry about pricing,Trade,High,0.4965183581957346,71,inquiry pricing
259,Poor packaging quality,Packaging,Medium,0.9336943671184548,32,poor packaging quality
260,Trade-related query,Trade,Low,-0.8076580627731318,35,traderelated query
261,Damaged packaging,Packaging,Medium,-0.5220897676139302,24,damaged packaging
262,Poor packaging quality,Packaging,Medium,0.887942928628142,67,poor packaging quality
263,Product stopped working,Product,High,-0.749609940300463,19,product stopped working
264,Poor packaging quality,Packaging,Medium,0.8290139275574957,16,poor packaging quality
265,Product stopped working,Product,Low,-0.8638000746727132,8,product stopped working
266,Defective item received,Product,Low,-0.5393423027298987,3,defective item received
267,Product stopped working,Product,Low,0.6021015877984515,35,product stopped working
268,Inquiry about pricing,Trade,High,0.5243208179787733,54,inquiry pricing
269,Defective item received,Product,Low,-0.740784682060136,63,defective item received
270,Defective item received,Product,Low,-0.8090564714515529,50,defective item received
271,Box was broken,Packaging,Low,-0.7163634042128326,51,box broken
272,Need bulk order details,Trade,Low,0.1158170065892647,43,need bulk order detail
273,Inquiry about pricing,Trade,High,0.4710321332202543,9,inquiry pricing
274,Box was broken,Packaging,Low,0.6271007090366749,44,box broken
275,Trade-related query,Trade,Low,-0.9513486484543164,55,traderelated query
276,Damaged packaging,Packaging,Medium,-0.7361142168035828,20,damaged packaging
277,Product malfunctioning,Product,Medium,0.6727535986914148,14,product malfunctioning
278,Need bulk order details,Trade,Medium,0.8576941475043938,2,need bulk order detail
279,Defective item received,Product,Low,-0.6840485019606823,59,defective item received
280,Box was broken,Packaging,Medium,-0.271025352977662,21,box broken
281,Box was broken,Packaging,High,0.5063845323881591,47,box broken
282,Poor packaging quality,Packaging,Low,-0.216584305225818,42,poor packaging quality
283,Defective item received,Product,Low,0.6558372978975469,25,defective item received
284,Product stopped working,Product,High,-0.6823896824488165,3,product stopped working
285,Damaged packaging,Packaging,Medium,0.512460291909151,21,damaged packaging
286,Poor packaging quality,Packaging,Low,0.6963372856481382,25,poor packaging quality
287,Need bulk order details,Trade,Medium,-0.1813800049519174,21,need bulk order detail
288,Box was broken,Packaging,Medium,0.7044827027291685,55,box broken
289,Trade-related query,Trade,Medium,-0.929586311282776,28,traderelated query
290,Inquiry about pricing,Trade,Medium,-0.094639946046249,27,inquiry pricing
291,Product malfunctioning,Product,High,-0.0981105499295806,64,product malfunctioning
292,Defective item received,Product,Low,0.4326239774904505,36,defective item received
293,Product stopped working,Product,Low,0.0066915905297717,38,product stopped working
294,Need bulk order details,Trade,Medium,-0.3383978070365929,33,need bulk order detail
295,Defective item received,Product,Medium,-0.8406881140411453,25,defective item received
296,Box was broken,Packaging,Low,0.3445309924307229,60,box broken
297,Box was broken,Packaging,Low,0.6779632420070201,55,box broken
298,Damaged packaging,Packaging,Medium,-0.5856097639058884,55,damaged packaging
299,Trade-related query,Trade,Low,0.6650588353437394,37,traderelated query
300,Product malfunctioning,Product,Medium,0.1089462226053723,20,product malfunctioning
301,Need bulk order details,Trade,High,-0.0946329937670764,31,need bulk order detail
302,Product malfunctioning,Product,Medium,-0.7055717442479403,15,product malfunctioning
303,Inquiry about pricing,Trade,Low,0.2840523083414017,40,inquiry pricing
304,Poor packaging quality,Packaging,Medium,-0.0622252634507434,48,poor packaging quality
305,Box was broken,Packaging,Low,-0.1507699388681096,44,box broken
306,Product malfunctioning,Product,Low,0.6134849975317294,28,product malfunctioning
307,Product stopped working,Product,High,-0.0948589464984659,22,product stopped working
308,Product stopped working,Product,High,0.1264108825202248,65,product stopped working
309,Inquiry about pricing,Trade,Medium,0.3272891666759123,11,inquiry pricing
310,Poor packaging quality,Packaging,Low,-0.5550030342712013,12,poor packaging quality
311,Damaged packaging,Packaging,Medium,0.91342775864256,39,damaged packaging
312,Product malfunctioning,Product,Low,0.6615306782671462,56,product malfunctioning
313,Box was broken,Packaging,Medium,0.7183211682501329,35,box broken
314,Box was broken,Packaging,Medium,-0.998238821345955,14,box broken
315,Poor packaging quality,Packaging,Medium,-0.6871258696599776,59,poor packaging quality
316,Product malfunctioning,Product,High,0.1857859777787061,51,product malfunctioning
317,Box was broken,Packaging,Medium,0.2367780943770725,7,box broken
318,Defective item received,Product,High,-0.095145236938813,3,defective item received
319,Product malfunctioning,Product,High,-0.751011472454731,36,product malfunctioning
320,Poor packaging quality,Packaging,Low,0.1066632205849786,22,poor packaging quality
321,Defective item received,Product,Medium,-0.692485809222606,30,defective item received
322,Inquiry about pricing,Trade,High,0.6254207176243287,12,inquiry pricing
323,Trade-related query,Trade,High,-0.7756429041069868,72,traderelated query
324,Defective item received,Product,High,-0.9743813026113805,66,defective item received
325,Need bulk order details,Trade,High,0.7619224182720761,9,need bulk order detail
326,Damaged packaging,Packaging,Medium,0.2999976272825628,45,damaged packaging
327,Product stopped working,Product,Low,-0.1804100091558791,60,product stopped working
328,Product malfunctioning,Product,Medium,-0.4548302138032458,17,product malfunctioning
329,Trade-related query,Trade,Medium,0.9076623972272148,47,traderelated query
330,Trade-related query,Trade,Low,0.9059026532589692,60,traderelated query
331,Product malfunctioning,Product,Low,0.7538219395311427,50,product malfunctioning
332,Box was broken,Packaging,High,-0.1185396339026643,41,box broken
333,Product stopped working,Product,Low,0.8722075702799661,62,product stopped working
334,Trade-related query,Trade,High,-0.7832396885311639,34,traderelated query
335,Defective item received,Product,Medium,0.580969987166619,24,defective item received
336,Box was broken,Packaging,Medium,0.4946118769737133,28,box broken
337,Need bulk order details,Trade,Medium,-0.9354038193441718,62,need bulk order detail
338,Poor packaging quality,Packaging,Medium,-0.9891648674707358,68,poor packaging quality
339,Defective item received,Product,High,-0.181316249238002,9,defective item received
340,Inquiry about pricing,Trade,Low,-0.6087262387700683,57,inquiry pricing
341,Inquiry about pricing,Trade,Medium,-0.7559857413244033,70,inquiry pricing
342,Damaged packaging,Packaging,High,-0.0486891624824323,2,damaged packaging
343,Product malfunctioning,Product,High,-0.9029392113583234,15,product malfunctioning
344,Box was broken,Packaging,High,-0.175619905980835,47,box broken
345,Damaged packaging,Packaging,Medium,-0.4428838310021383,34,damaged packaging
346,Inquiry about pricing,Trade,Low,0.8676344741968218,21,inquiry pricing
347,Damaged packaging,Packaging,Medium,0.513125262106831,31,damaged packaging
348,Poor packaging quality,Packaging,High,0.7772791956017151,60,poor packaging quality
349,Poor packaging quality,Packaging,Low,-0.5444244659834367,26,poor packaging quality
350,Inquiry about pricing,Trade,Low,0.1802033663448399,72,inquiry pricing
351,Defective item received,Product,High,0.1578499070031516,37,defective item received
352,Product malfunctioning,Product,Low,0.1036642165570531,19,product malfunctioning
353,Trade-related query,Trade,High,0.9832302996509978,61,traderelated query
354,Damaged packaging,Packaging,Low,0.0027012377845561,50,damaged packaging
355,Product malfunctioning,Product,Low,0.3401110834474179,23,product malfunctioning
356,Trade-related query,Trade,Low,-0.125695617236645,24,traderelated query
357,Poor packaging quality,Packaging,High,0.3022194033898446,31,poor packaging quality
358,Defective item received,Product,High,-0.0788869137197343,2,defective item received
359,Product malfunctioning,Product,High,0.332695690746198,66,product malfunctioning
360,Product malfunctioning,Product,Low,-0.4056902954152157,45,product malfunctioning
361,Inquiry about pricing,Trade,Low,-0.8578098339009794,1,inquiry pricing
362,Product stopped working,Product,Low,-0.2999063332776839,29,product stopped working
363,Trade-related query,Trade,High,-0.2168477878133858,44,traderelated query
364,Product malfunctioning,Product,Medium,0.7437260774978587,67,product malfunctioning
365,Damaged packaging,Packaging,Low,0.1813791301801166,11,damaged packaging
366,Trade-related query,Trade,High,-0.3186868994882603,1,traderelated query
367,Product stopped working,Product,Medium,-0.023615784636084,54,product stopped working
368,Inquiry about pricing,Trade,Low,0.0474597109755665,62,inquiry pricing
369,Product malfunctioning,Product,High,-0.0487045585422298,5,product malfunctioning
370,Inquiry about pricing,Trade,Low,0.1928067265843391,34,inquiry pricing
371,Trade-related query,Trade,Medium,0.9109425997210858,1,traderelated query
372,Inquiry about pricing,Trade,Medium,0.6572504010280169,17,inquiry pricing
373,Product stopped working,Product,Medium,-0.7840791476722544,13,product stopped working
374,Inquiry about pricing,Trade,Medium,0.5839370673150222,21,inquiry pricing
375,Trade-related query,Trade,Low,-0.8004316457861143,48,traderelated query
376,Product malfunctioning,Product,Medium,0.7298893279721579,45,product malfunctioning
377,Box was broken,Packaging,High,-0.5538547273992709,36,box broken
378,Poor packaging quality,Packaging,Medium,0.3968701075691374,1,poor packaging quality
379,Poor packaging quality,Packaging,High,0.531037804009127,67,poor packaging quality
380,Product stopped working,Product,Medium,-0.708694093552874,1,product stopped working
381,Damaged packaging,Packaging,Medium,-0.3729898145361223,18,damaged packaging
382,Box was broken,Packaging,Medium,-0.432161735039007,68,box broken
383,Damaged packaging,Packaging,Low,-0.0339333111104793,63,damaged packaging
384,Box was broken,Packaging,High,-0.1247794566496656,29,box broken
385,Product malfunctioning,Product,Medium,-0.5676270744306045,62,product malfunctioning
386,Poor packaging quality,Packaging,High,-0.1529451857433745,29,poor packaging quality
387,Product stopped working,Product,High,-0.5568691080788708,15,product stopped working
388,Need bulk order details,Trade,Medium,-0.6873581761816969,27,need bulk order detail
389,Poor packaging quality,Packaging,Low,-0.3247317240391201,43,poor packaging quality
390,Product malfunctioning,Product,High,-0.6350251873566211,60,product malfunctioning
391,Trade-related query,Trade,Low,-0.8765779831952942,2,traderelated query
392,Box was broken,Packaging,High,0.0299392816290038,4,box broken
393,Damaged packaging,Packaging,High,0.4257166164084272,44,damaged packaging
394,Product malfunctioning,Product,Low,-0.1579685681005975,28,product malfunctioning
395,Inquiry about pricing,Trade,Medium,-0.6617684672514965,21,inquiry pricing
396,Box was broken,Packaging,Low,0.8940238418545412,62,box broken
